1,2
3,4
4,17
4,19
4,21
4,29
4,32
4,35
4,37
4,39
4,41
4,48
4,61
4,97
4,100
4,118
4,119
4,120
4,146
4,157
4,161
4,178
5,6
7,8
8,7
8,11
8,23
8,31
8,33
8,46
8,52
8,57
8,66
8,70
8,75
8,77
8,79
8,91
8,95
8,105
8,113
8,124
8,127
8,148
8,150
8,151
8,152
8,153
9,10
11,12
13,14
15,16
17,18
19,20
20,3
20,15
20,25
20,26
20,27
20,43
20,47
20,71
20,86
20,103
20,107
20,117
20,123
20,132
20,138
20,155
20,159
20,160
21,22
23,24
25,2
26,8
27,28
29,30
31,14
32,2
33,34
35,36
37,38
39,40
41,42
43,30
44,45
46,2
47,14
48,49
50,51
51,5
51,63
51,65
51,82
51,88
51,101
51,109
51,121
51,140
51,163
51,164
51,165
51,166
52,53
54,22
55,56
57,58
59,60
61,62
63,64
65,18
66,67
68,69
70,51
71,72
73,74
75,76
77,78
79,80
81,20
82,83
84,30
85,49
86,87
88,89
90,76
91,92
93,94
95,96
97,98
99,18
100,10
101,30
102,98
103,104
105,106
107,108
109,110
111,62
112,18
113,114
115,116
117,51
118,14
119,76
120,51
121,122
123,18
124,125
126,30
127,128
129,73
129,84
129,99
129,130
129,131
130,156
131,171
132,133
133,93
133,134
133,135
134,20
135,20
136,137
138,139
139,1
139,9
139,13
139,44
139,50
139,54
139,55
139,59
139,68
139,81
139,85
139,90
139,102
139,111
139,112
139,115
139,126
139,136
139,142
139,144
139,145
139,146
139,147
140,141
142,143
145,172
146,2
146,14
146,20
146,22
146,49
146,51
146,62
146,76
146,98
146,175
148,149
151,154
153,180
155,83
157,158
159,2
159,8
159,14
159,16
159,28
159,51
159,168
159,169
159,170
160,129
161,38
162,4
163,64
165,110
166,89
167,139
173,20
174,8
176,51
177,133
179,129
