1,22
1,38
1,78
2,13
2,14
2,60
2,74
3,13
3,14
3,65
3,76
4,10
4,42
4,53
4,61
5,46
5,56
5,63
5,73
6,24
6,29
6,63
6,64
7,8
7,11
7,33
7,57
8,7
8,20
8,27
8,34
9,10
9,33
9,42
9,62
10,4
10,9
10,51
10,77
11,7
11,42
11,54
11,55
12,27
12,40
12,66
12,74
13,2
13,3
13,29
13,66
14,2
14,3
14,16
14,48
15,16
15,17
15,31
15,48
16,14
16,15
16,30
16,52
17,15
17,25
17,65
17,76
18,24
18,28
18,75
18,81
19,47
19,56
19,63
19,72
20,8
20,51
20,62
21,31
21,38
21,43
21,50
22,1
22,37
22,49
22,57
23,54
23,60
23,74
23,79
24,6
24,18
24,59
24,72
25,17
25,47
25,72
25,82
26,43
26,51
26,77
26,82
27,8
27,12
27,53
27,70
28,18
28,34
28,44
28,73
29,6
29,13
29,59
29,80
30,16
30,40
30,49
30,60
31,15
31,21
31,52
31,78
32,39
32,67
32,68
32,84
33,7
33,9
33,43
33,50
34,8
34,28
34,61
34,77
35,46
35,58
35,71
35,73
36,63
36,64
36,81
36,84
37,22
37,81
37,83
37,84
38,1
38,21
38,69
38,78
39,32
39,52
39,69
39,78
40,12
40,30
40,41
40,59
41,40
41,48
41,65
42,4
42,9
42,11
42,70
43,21
43,26
43,33
43,62
44,28
44,56
44,77
44,82
45,47
45,56
45,75
45,82
46,5
46,35
46,81
46,83
47,19
47,25
47,45
47,75
48,14
48,15
48,41
48,65
49,22
49,30
49,52
49,67
50,21
50,33
50,57
50,69
51,10
51,20
51,26
51,62
52,16
52,31
52,39
52,49
53,4
53,27
53,66
53,71
54,11
54,23
54,58
54,70
55,11
55,57
55,58
55,68
56,5
56,19
56,44
56,45
57,7
57,22
57,50
57,55
58,35
58,54
58,55
58,83
59,24
59,29
59,40
59,76
60,2
60,23
60,30
60,67
61,4
61,34
61,71
61,73
62,9
62,20
62,43
62,51
63,5
63,6
63,19
63,36
64,6
64,36
64,79
64,80
65,3
65,17
65,41
65,48
66,12
66,13
66,53
66,80
67,32
67,49
67,60
67,79
68,32
68,55
68,69
68,83
69,38
69,39
69,50
69,68
70,27
70,42
70,54
70,74
71,35
71,53
71,61
71,80
72,19
72,24
72,25
72,76
73,5
73,28
73,35
73,61
74,2
74,12
74,23
74,70
75,18
75,45
75,47
76,3
76,17
76,59
76,72
77,10
77,26
77,34
77,44
78,1
78,31
78,38
78,39
79,23
79,64
79,67
79,84
80,29
80,64
80,66
80,71
81,18
81,36
81,37
81,46
82,25
82,26
82,44
82,45
83,37
83,46
83,58
83,68
84,32
84,36
84,37
84,79
