1,2
2,3
3,1
4,1
4,2
4,3
4,5
4,50
5,6
5,14
6,3
7,6
7,8
7,11
7,15
8,9
8,12
8,15
9,10
9,19
9,23
10,11
10,13
11,6
11,12
11,13
11,16
12,7
12,10
12,13
12,15
13,14
14,3
14,15
15,13
16,6
16,7
16,13
16,14
16,15
16,62
17,8
17,10
17,18
17,24
18,19
18,21
18,22
18,24
18,51
19,17
19,20
19,23
19,24
20,9
20,18
20,21
20,23
22,20
22,21
22,23
22,24
22,25
22,51
23,24
24,25
25,23
26,2
26,4
26,5
26,27
26,68
27,1
27,2
27,28
27,50
28,2
28,26
28,29
28,48
29,30
29,46
29,49
30,31
31,32
31,35
31,39
32,30
33,32
33,34
33,46
33,48
34,35
34,39
36,35
36,37
36,41
36,44
36,79
37,38
38,39
39,37
40,35
40,36
40,37
40,38
40,39
41,35
41,38
41,40
41,42
42,36
42,37
42,38
42,43
43,38
43,41
44,37
44,42
45,30
45,31
45,32
45,33
45,34
46,30
46,34
46,45
46,47
46,74
47,29
47,30
47,32
47,33
48,32
48,47
49,1
49,27
49,48
50,1
50,5
50,26
50,49
51,53
51,54
51,55
51,56
52,51
52,53
53,55
54,52
54,57
54,58
55,54
55,58
56,20
56,52
56,53
56,54
56,55
57,55
57,58
57,61
58,60
59,57
59,63
59,64
60,59
60,64
61,7
61,58
61,59
61,60
61,62
62,11
62,57
62,58
62,59
62,60
63,60
63,64
63,67
64,66
65,63
65,69
66,65
66,70
67,4
67,50
67,64
67,65
67,66
67,68
68,63
68,64
68,65
68,66
69,66
69,70
69,73
70,65
70,72
71,69
71,75
72,71
72,76
73,33
73,70
73,71
73,72
73,74
74,45
74,69
74,70
74,71
74,72
75,72
75,76
75,79
76,71
76,78
77,75
78,77
79,40
79,76
79,77
79,78
79,80
80,41
80,75
80,76
80,77
80,78
